"id";"timestamp";"amount";"customer_id";"product_id"
"36839";"2012-09-27 00:22:30";"1,00";"655";"24"
"36843";"2012-09-27 00:25:22";"1,00";"390";"24"
"36844";"2012-09-27 00:25:44";"1,00";"693";"24"
"36878";"2012-09-27 21:39:24";"1,60";"643";"6"
"36879";"2012-09-27 21:39:24";"1,60";"579";"6"
"36880";"2012-09-27 21:39:25";"1,60";"457";"6"
"36901";"2012-09-29 15:58:42";"1,50";"478";"8"
"36902";"2012-09-29 15:59:32";"1,00";"201";"37"
"36904";"2012-09-29 15:59:52";"1,00";"361";"37"
"36905";"2012-09-29 16:00:02";"1,00";"489";"37"
"36935";"2012-10-02 20:18:01";"1,00";"92";"70"
"36953";"2012-10-02 20:57:33";"1,60";"712";"6"
"36962";"2012-10-02 21:16:03";"1,00";"597";"24"
"36967";"2012-10-02 21:18:04";"1,60";"723";"6"
"36984";"2012-10-02 21:36:26";"1,60";"618";"6"
"36988";"2012-10-02 21:43:18";"1,00";"465";"70"
"36996";"2012-10-02 22:01:11";"1,60";"579";"6"
"37028";"2012-10-02 22:43:01";"1,60";"390";"6"
"37036";"2012-10-02 22:58:52";"1,50";"590";"7"
"37039";"2012-10-02 23:07:04";"1,50";"360";"7"
"37047";"2012-10-02 23:24:12";"1,60";"579";"6"
"37071";"2012-10-03 00:55:18";"1,00";"716";"70"
"37082";"2012-10-06 20:21:28";"1,00";"590";"37"
"37083";"2012-10-06 20:21:28";"1,00";"590";"37"
"37084";"2012-10-06 20:21:28";"1,00";"590";"37"
"37085";"2012-10-06 20:21:28";"1,00";"590";"37"
"37086";"2012-10-06 20:21:28";"1,00";"590";"37"
"37087";"2012-10-06 20:21:28";"1,00";"590";"37"
"37093";"2012-10-09 20:30:29";"1,60";"597";"6"
"37102";"2012-10-09 20:58:00";"1,60";"486";"6"
"37118";"2012-10-09 21:43:46";"1,50";"468";"7"
"37119";"2012-10-09 21:43:47";"1,50";"590";"7"
"37130";"2012-10-09 22:14:34";"1,00";"460";"24"
"37132";"2012-10-09 22:15:50";"1,60";"618";"6"
"37133";"2012-10-09 22:17:41";"1,60";"92";"6"
"37144";"2012-10-09 22:55:10";"1,50";"590";"7"
"37145";"2012-10-09 22:55:18";"1,50";"468";"7"
"37155";"2012-10-09 23:18:48";"1,60";"489";"6"
"37158";"2012-10-09 23:57:37";"1,50";"201";"8"
"37159";"2012-10-09 23:57:49";"1,50";"460";"8"
"37186";"2012-10-10 21:59:31";"1,00";"665";"95"
"37191";"2012-10-10 22:01:40";"1,60";"597";"6"
"37195";"2012-10-10 22:03:31";"1,00";"683";"95"
"37196";"2012-10-10 22:04:38";"1,60";"708";"6"
"37197";"2012-10-10 22:05:43";"1,60";"618";"6"
"37200";"2012-10-10 22:07:22";"1,00";"617";"95"
"37202";"2012-10-10 22:08:32";"1,00";"623";"24"
"37210";"2012-10-10 22:15:09";"1,50";"590";"7"
"37211";"2012-10-10 22:16:32";"1,00";"702";"95"
"37212";"2012-10-10 22:17:09";"1,00";"545";"95"
"37216";"2012-10-10 22:20:56";"1,00";"714";"95"
"37235";"2012-10-10 22:35:39";"1,00";"644";"95"
"37237";"2012-10-10 22:36:21";"1,00";"640";"95"
"37240";"2012-10-10 22:39:21";"1,00";"681";"24"
"37242";"2012-10-10 22:41:10";"1,00";"390";"37"
"37243";"2012-10-10 22:41:10";"1,00";"390";"37"
"37244";"2012-10-10 22:41:10";"1,00";"390";"37"
"37245";"2012-10-10 22:41:10";"1,00";"390";"37"
"37246";"2012-10-10 22:41:44";"1,00";"613";"95"
"37249";"2012-10-10 22:44:20";"1,60";"670";"6"
"37250";"2012-10-10 22:44:45";"1,00";"494";"95"
"37256";"2012-10-10 22:47:23";"1,00";"726";"95"
"37258";"2012-10-10 22:47:54";"1,00";"616";"95"
"37259";"2012-10-10 22:47:57";"1,60";"590";"6"
"37260";"2012-10-10 22:48:02";"1,60";"579";"6"
"37265";"2012-10-10 22:49:56";"1,00";"623";"24"
"37268";"2012-10-10 22:51:54";"1,00";"194";"37"
"37269";"2012-10-10 22:51:58";"1,00";"617";"24"
"37270";"2012-10-10 22:52:01";"1,00";"194";"37"
"37290";"2012-10-10 23:02:25";"1,00";"684";"95"
"37291";"2012-10-10 23:02:38";"1,00";"486";"37"
"37293";"2012-10-10 23:02:51";"1,00";"688";"37"
"37303";"2012-10-10 23:07:20";"1,00";"465";"95"
"37311";"2012-10-10 23:11:51";"1,00";"657";"95"
"37312";"2012-10-10 23:13:00";"1,00";"467";"95"
"37318";"2012-10-10 23:16:17";"1,00";"479";"95"
"37336";"2012-10-10 23:28:18";"1,00";"702";"95"
"37337";"2012-10-10 23:28:37";"1,00";"694";"95"
"37340";"2012-10-10 23:30:50";"1,00";"637";"24"
"37342";"2012-10-10 23:33:00";"1,50";"251";"7"
"37343";"2012-10-10 23:33:00";"1,50";"251";"7"
"37347";"2012-10-10 23:37:50";"1,00";"622";"37"
"37350";"2012-10-10 23:42:31";"1,00";"692";"37"
"37351";"2012-10-10 23:42:49";"1,00";"692";"37"
"37352";"2012-10-10 23:44:03";"1,00";"652";"95"
"37356";"2012-10-10 23:47:03";"1,50";"360";"7"
"37357";"2012-10-10 23:47:17";"1,00";"655";"95"
"37358";"2012-10-10 23:47:47";"1,50";"590";"7"
"37373";"2012-10-11 00:06:26";"1,00";"481";"70"
"37375";"2012-10-11 00:11:58";"1,50";"622";"8"
"37376";"2012-10-11 00:13:55";"1,00";"735";"24"
"37377";"2012-10-11 00:13:55";"1,00";"735";"24"
"37383";"2012-10-11 00:33:04";"1,00";"735";"24"
"37384";"2012-10-11 00:33:04";"1,00";"735";"24"
"37389";"2012-10-11 00:48:52";"1,00";"735";"24"
"37390";"2012-10-11 00:48:52";"1,00";"735";"24"
